country,region,avg_price_usd,avg_rating,total_products,unique_categories,price_standard_deviation,gdp_per_capita,online_availability_pct,assortment_breadth,global_avg_price,price_index,affordability_index
United States,North America,201.87507585652568,4.396011252888576,9953,23,387.1537442978316,81695.0,98.44268059881442,177,176.42531043884847,1.1442523487949223,0.002471082390067026
Austria,Europe,201.2529088994634,4.496699402652627,9877,22,346.23003817524454,,97.81310114407209,164,176.42531043884847,1.1407258312248827,
Belgium,Europe,194.5640585979252,4.3905585245729855,9543,22,359.26417864383984,,97.20213769254951,164,176.42531043884847,1.102812618631406,
Germany,Europe,190.78844330097087,4.3842524271844665,10300,21,333.9637839096209,55352.0,98.15533980582525,165,176.42531043884847,1.0814119744292634,0.0034468211320452897
Finland,Europe,188.73563493506495,4.387272727272728,9240,22,341.29561959240243,,96.94805194805195,167,176.42531043884847,1.069776408303294,
France,Europe,188.2317658211218,4.395017685699848,9895,21,317.77998265373566,,98.14047498736736,165,176.42531043884847,1.066920417217379,
Italy,Europe,177.20252760375882,4.517873923257635,10216,22,308.03556196136714,,97.37666405638214,168,176.42531043884847,1.0044053609030192,
Ireland,Europe,175.66415103257398,4.7945603576751115,9394,22,321.89028583505547,,92.50585480093677,166,176.42531043884847,0.9956856564152777,
United Kingdom,Europe,173.25058381416633,4.5195781933943495,10052,22,326.42221803447154,,97.01551929964187,172,176.42531043884847,0.9820052654758823,
Netherlands,Europe,171.1095857058243,4.3231490621915105,10130,21,300.6966737374658,,97.58144126357354,168,176.42531043884847,0.96986982922234,
Sweden,Europe,171.00124930050364,4.384648386495057,10722,22,303.5615953307907,60819.0,97.2113411676926,173,176.42531043884847,0.9692557653725944,0.002811641909608899
Australia,Oceania,167.38528156742038,4.394838404167159,8447,23,299.00618730674734,64998.0,97.85722741801823,169,176.42531043884847,0.948760022873467,0.002575237416034653
Spain,Europe,162.6113920931658,4.393737869036674,9789,23,286.4619152311951,,97.06813770558792,168,176.42531043884847,0.921701039882989,
Portugal,Europe,160.4040653850379,4.395891464352411,9103,22,275.7711441402937,,95.57288805888169,167,176.42531043884847,0.909189645102743,
Slovakia,Europe,158.98846357556843,4.880439144003567,8972,22,277.41907863458255,,92.39857333927776,167,176.42531043884847,0.9011658428152581,
Croatia,Europe,156.69052689778175,4.395652658566492,8971,22,267.5260053183503,,88.91985285921302,165,176.42531043884847,0.8881408597667902,
Slovenia,Europe,152.43069393737508,4.3930712858094605,9006,21,267.3892445501458,,95.79169442593826,166,176.42531043884847,0.8639956112771571,
